City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Trairi,BR,-3.28,-39.27,77.32,81,37,6.35,scattered clouds
252,Atuona,PF,-9.8,-139.03,78.58,74,67,22.66,broken clouds
253,Karakol,KG,42.49,78.39,53.6,38,0,5.91,clear sky
254,Pasighat,IN,28.07,95.33,84.24,58,80,3.31,broken clouds
255,Berbera,SO,10.44,45.01,87.15,40,20,10.98,few clouds
256,Padang,ID,-0.95,100.35,85.33,59,88,5.57,overcast clouds
257,Paamiut,GL,61.99,-49.67,29.12,87,0,16.78,clear sky
258,Cidreira,BR,-30.18,-50.21,63.68,91,100,14.65,light rain
259,Port Lincoln,AU,-34.73,135.87,60.8,70,0,11.34,clear sky
260,Warrington,GB,53.39,-2.58,46.4,93,75,10.29,broken clouds
261,Sambava,MG,-14.27,50.17,80.89,59,3,11.41,clear sky
262,Tambopata,PE,-12.73,-69.18,72.81,99,100,6.24,heavy intensity rain
263,Vangaindrano,MG,-23.35,47.6,81.27,60,1,9.33,clear sky
264,Thinadhoo,MV,0.53,72.93,83.35,66,0,8.12,clear sky
265,Saint-Augustin,CA,51.23,-58.65,29.52,97,100,3.71,overcast clouds
266,Umm Lajj,SA,25.02,37.27,89.47,35,0,6.64,clear sky
267,Brae,GB,60.4,-1.35,44.6,100,20,3.36,few clouds
268,Tiznit,MA,29.58,-9.5,60.85,68,0,1.66,clear sky
269,Cabo San Lucas,MX,22.89,-109.91,75.99,85,0,13.2,clear sky
270,Sao Jose Da Coroa Grande,BR,-8.9,-35.15,76.41,83,91,11.34,overcast clouds
271,Severo-Yeniseyskiy,RU,60.37,93.04,22.75,95,100,10.38,overcast clouds
272,Ilebo,CD,-4.32,20.58,87.08,55,21,2.93,few clouds
273,Adre,TD,13.47,22.2,84.76,18,0,14.16,clear sky
274,Khatanga,RU,71.97,102.5,4.86,94,97,11.45,overcast clouds
275,Mercedes,AR,-34.65,-59.43,52.0,77,0,5.99,clear sky
276,Don Sak,TH,9.32,99.69,90.0,70,20,11.41,light rain
277,Buraydah,SA,26.33,43.98,77.0,23,0,3.36,clear sky
