City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Jalu,LY,79.54,scattered clouds,29.03,21.55,Jalu Hotel
594,Deltona,US,75.0,clear sky,28.9,-81.26,Travelodge by Wyndham Deltona
596,Khandbari,NP,80.13,clear sky,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
599,Aplahoue,BJ,79.81,few clouds,6.93,1.68,Hotel ARNOGOS
601,Saint-Pierre,RE,80.6,overcast clouds,-21.34,55.48,Lindsey Hôtel
602,Tura,IN,80.82,light rain,25.52,90.22,Hotel RIKMAN Continental
603,Mweka,CD,85.23,clear sky,-4.85,21.57,
608,Ureki,GE,77.0,clear sky,42.0,41.78,Hotel Ritsa
613,Kralendijk,BQ,80.6,light rain,12.15,-68.27,Divi Flamingo Beach Resort & Casino
617,Balikpapan,ID,83.25,overcast clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
618,Niamey,NE,82.4,dust,13.51,2.11,Soluxe Hotel Niamey
626,Aswan,EG,88.0,clear sky,24.09,32.91,Nuba Nile
627,Digapahandi,IN,86.65,clear sky,19.37,84.58,Pradeep jewellers
631,Aloleng,PH,83.57,moderate rain,16.13,119.78,Agno Umbrella Rocks
632,Valdez,EC,76.46,light rain,1.25,-78.98,hotel Stefany
634,Najran,SA,80.6,clear sky,17.49,44.13,محمد هادي ال فطيح
635,Terre-De-Bas,GP,78.8,thunderstorm,15.85,-61.64,Hôtel Bois Joli
638,Pasni,PK,78.71,clear sky,25.26,63.47,3G hotel pasni
640,Pedernales,DO,79.97,overcast clouds,18.04,-71.74,Hotel Costa Marina
647,Yaan,NG,80.13,broken clouds,7.38,8.57,
650,Rio Branco,BR,77.0,clear sky,-9.97,-67.81,João Paulo Hotel
653,Lae,PG,82.4,moderate rain,-6.72,146.98,Phils Hotel
654,Bathsheba,BB,82.4,few clouds,13.22,-59.52,Atlantis Hotel
655,Djibo,BF,85.14,scattered clouds,14.1,-1.63,Centre Des Ressources DPENA
657,Kalmunai,LK,86.79,broken clouds,7.42,81.82,VS Villa
658,Kodar,IN,86.13,clear sky,16.98,79.97,Hotel Athidhi Grand
660,Bowen,AU,82.4,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
661,Antalaha,MG,80.69,clear sky,-14.9,50.28,Hotel Vitasoa
666,Basco,PH,81.39,light rain,20.45,121.97,Nathaniel's Lodge
667,Jijiga,ET,77.59,few clouds,9.35,42.8,RAMAAS HOTEL
670,Taunggyi,MM,75.29,moderate rain,20.78,97.03,True Treasure Hotel
672,Dunda,TZ,85.17,overcast clouds,-8.12,34.25,
681,Puerto Cabezas,NI,77.36,overcast clouds,14.04,-83.39,Hotel Caribe
683,Wanning,CN,77.56,light rain,18.8,110.4,Paradise Hotel
688,Myitkyina,MM,91.54,clear sky,25.38,97.4,Shwe Phyu Hotel
689,Bol,TD,82.53,few clouds,13.46,14.71,Hotel 3 Etoiles
691,Sigli,ID,85.69,light rain,5.38,95.96,Hotel Riza
